Customer_ID,Age,Gender,Occupation,Marital_Status,Number_of_Dependents,Annual_Income,Salary_Bracket,Monthly_Expenses,Expense_Growth_Rate(%),Savings_Rate(%),Loan_EMI_Obligations,Current_Net_Worth,Debt_to_Income_Ratio,Credit_Score,Risk_Taking_Ability,Investment_Experience(Years),Financial_Knowledge_Score,Past_Investment_Returns(%),Preferred_Investment_Horizon,Primary_Financial_Goal,Goal_Amount(₹),Goal_Timeline(Years),Current_Investment_Type,Pandemic_Impact_Factor,War_Impact_Factor,Inflation_Rate_At_Investment_Start,GDP_Growth_Rate,Market_Volatility_Index,RealEstate_%,Equity_%,Debt_%,Cash_%,Gold_%,Health_Insurance_Coverage(₹),Life_Insurance_Coverage(₹),Emergency_Fund_Balance(₹),Insurance_Type,Insurance_Times
CUST200010,53,Female,Self-employed,Married,0,596724.0,Low,20319.0,9.63,10.88,9.09,1747642.0,0.42,605,High,14.1,7.1,16.87,Short,Retirement,1497932.0,12,Stocks,-0.088,-0.019,6.17,7.46,22.6,19.42,65.17,7.76,4.86,2.79,193000.0,6564000.0,85300.0,Both,High
CUST200011,75,Female,Retired,Married,3,476708.0,Low,17950.0,2.39,10.06,10.42,2158876.0,0.45,733,Medium,23.7,6.8,2.2,Short,House,3382236.0,5,SIPs,-0.065,-0.028,5.0,6.0,20.0,17.39,33.74,25.53,14.42,8.93,228900.0,6673900.0,107700.0,Both,High
CUST200012,32,Non-binary,Salaried,Married,4,1182235.0,Medium,39882.0,6.64,22.72,10.65,2423014.0,0.21,768,Medium,1.8,5.2,6.73,Medium,Retirement,4092947.0,9,SIPs,-0.066,-0.014,5.0,6.0,20.0,16.18,36.39,28.82,9.67,8.94,408800.0,16551300.0,478600.0,Both,High
CUST200013,59,Female,Self-employed,Married,1,399658.0,Low,16304.0,5.12,19.43,24.36,3100683.0,0.05,599,Medium,10.0,4.7,-2.83,Short,House,4249839.0,2,Stocks,-0.135,-0.082,5.0,6.0,20.0,13.83,39.0,27.67,12.08,7.42,183400.0,4795900.0,195600.0,Both,High
CUST200014,37,Male,Self-employed,Married,2,1130355.0,Medium,34728.0,3.23,22.37,21.35,3831186.0,0.34,623,Medium,7.1,6.0,14.95,Medium,House,1289089.0,14,Bonds,-0.111,-0.059,5.0,6.0,20.0,15.13,31.3,27.41,17.64,8.52,364600.0,13564300.0,416700.0,Both,High
CUST200015,23,Male,Student,Single,4,1407170.0,Medium,46374.0,7.45,28.47,13.11,47810.0,0.15,624,Medium,2.8,6.1,18.6,Long,Retirement,4726504.0,6,Mutual Funds,-0.09,-0.063,5.0,6.0,20.0,25.14,33.52,21.9,11.77,7.68,405800.0,16886000.0,278200.0,None,High
CUST200016,19,Male,Student,Married,1,978373.0,Medium,38844.0,3.47,23.38,23.2,-236716.0,0.14,648,Medium,0.3,4.0,13.18,Long,House,3533809.0,5,SIPs,-0.158,-0.016,5.0,6.0,20.0,16.45,35.0,22.85,17.5,8.2,320500.0,10762100.0,427300.0,None,High
CUST200017,43,Male,Salaried,Married,4,2350784.0,High,89255.0,5.65,49.17,13.09,25768742.0,0.22,763,Medium,6.5,4.6,10.33,Medium,Wealth,19365696.0,22,SIPs,-0.048,-0.029,5.0,6.0,20.0,18.08,27.76,29.82,16.57,7.77,1048700.0,32911000.0,1071100.0,Both,High
CUST200018,27,Female,Salaried,Married,3,222912.0,Low,13600.0,4.39,7.5,20.93,-40815.0,0.71,435,Low,1.1,6.6,-0.74,Long,Emergency_Fund,531400.0,3,SIPs,-0.126,-0.067,5.0,6.0,20.0,10.44,17.64,45.69,17.05,9.18,132600.0,2897900.0,97900.0,Both,High
CUST200019,64,Female,Retired,Married,1,1814625.0,High,82449.0,10.14,57.14,16.41,45135837.0,0.05,860,Medium,15.6,8.5,14.15,Short,Wealth,24278427.0,3,Mutual Funds,-0.183,-0.046,5.83,7.31,26.1,20.21,27.71,27.32,18.34,6.42,968800.0,21775500.0,906900.0,Both,High
CUST200020,59,Female,Business,Married,1,1328995.0,Medium,46156.0,4.3,23.39,27.29,11680781.0,0.22,574,Medium,14.6,7.2,13.62,Short,Retirement,3185392.0,11,Mutual Funds,-0.13,-0.062,5.0,6.0,20.0,20.83,25.85,31.66,15.49,6.18,542300.0,15947900.0,415400.0,Both,High
CUST200021,54,Female,Self-employed,Divorced,4,1080230.0,Medium,44735.0,9.28,15.22,15.77,5145984.0,0.43,647,High,11.0,5.8,-16.35,Short,House,4499901.0,3,Stocks,-0.142,-0.059,6.79,-6.2,38.5,20.82,57.9,6.93,9.7,4.65,480900.0,14043000.0,322100.0,Both,High
CUST200022,42,Male,Salaried,Married,1,1130442.0,Medium,34533.0,7.1,19.76,31.87,4109230.0,0.37,658,Low,9.8,10.0,-1.1,Medium,House,4433547.0,3,Bonds,-0.148,-0.055,7.96,6.39,21.1,14.2,9.3,49.37,16.46,10.66,336700.0,12434900.0,276300.0,Both,High
CUST200023,51,Male,Salaried,Single,1,1278805.0,Medium,54172.0,2.12,21.88,15.28,7840236.0,0.5,601,Low,15.5,5.5,-12.55,Short,House,4395264.0,16,SIPs,-0.018,-0.109,8.07,7.37,34.0,13.17,14.89,39.24,22.45,10.24,501100.0,12788100.0,292500.0,Both,High
CUST200024,38,Male,Business,Married,1,2518062.0,High,103862.0,5.35,48.78,13.49,24480195.0,0.19,818,Medium,6.3,4.9,13.54,Medium,Wealth,22941413.0,17,Stocks,-0.033,-0.023,5.0,6.0,20.0,20.92,40.89,23.51,8.63,6.05,1064600.0,27698700.0,1142500.0,Both,High
CUST200025,44,Female,Salaried,Single,4,765084.0,Medium,36995.0,8.97,21.17,17.17,3580338.0,0.15,662,Low,10.7,3.5,7.97,Medium,Education,5082815.0,18,Mutual Funds,-0.079,-0.085,5.0,6.0,20.0,12.24,14.73,45.92,20.77,6.34,342200.0,9181000.0,222000.0,Both,High
CUST200026,38,Female,Self-employed,Married,3,313676.0,Low,14827.0,5.34,29.44,15.42,1625537.0,0.05,651,High,7.1,10.0,12.18,Medium,House,3819084.0,16,Stocks,-0.077,-0.001,5.11,6.04,26.3,10.68,56.25,20.32,4.75,8.0,159400.0,4077800.0,89000.0,Both,High
CUST200027,37,Female,Business,Married,0,823636.0,Medium,40423.0,5.23,25.6,5.25,2846907.0,0.35,626,Medium,6.6,4.7,11.41,Medium,Retirement,1407447.0,13,Mutual Funds,-0.143,-0.071,5.0,6.0,20.0,20.94,30.53,26.54,15.11,6.88,343600.0,8236400.0,485100.0,Both,High
CUST200028,39,Male,Business,Single,0,2959908.0,High,80245.0,6.35,41.24,16.98,24412361.0,0.14,713,High,4.9,4.8,12.51,Medium,Wealth,3271629.0,15,Stocks,-0.008,-0.069,5.0,6.0,20.0,14.52,59.15,14.12,9.0,3.21,642000.0,23679300.0,722200.0,Life,Medium
CUST200029,59,Female,Retired,Single,4,1184172.0,Medium,47052.0,7.22,11.94,7.98,5155427.0,0.37,820,High,9.3,5.1,15.78,Short,Education,868564.0,8,Stocks,0.022,-0.016,4.45,7.2,12.7,11.16,59.13,17.98,5.45,6.28,552900.0,15394200.0,376400.0,Both,High
CUST200030,32,Female,Salaried,Married,4,928331.0,Medium,28071.0,4.05,27.27,17.41,3201846.0,0.1,678,Low,3.7,6.1,20.0,Medium,Retirement,1710571.0,14,SIPs,0.006,-0.038,4.45,7.2,12.7,10.74,21.12,40.57,16.14,11.43,273700.0,12996600.0,224600.0,Both,High
CUST200031,26,Female,Salaried,Single,3,927619.0,Medium,31832.0,7.73,19.4,17.71,470292.0,0.14,665,High,2.3,4.4,0.95,Long,Education,1574928.0,2,Stocks,-0.042,-0.042,7.96,6.39,21.1,14.55,62.47,15.63,5.0,2.35,262600.0,10203800.0,382000.0,Both,High
CUST200032,47,Female,Salaried,Single,1,1101217.0,Medium,52324.0,3.85,15.08,7.4,4213770.0,0.39,741,Low,13.4,8.0,-20.0,Medium,Retirement,4967707.0,11,Bonds,-0.161,-0.019,6.79,-6.2,38.5,20.92,10.26,47.1,14.35,7.37,484000.0,11012200.0,575600.0,Both,High
CUST200033,46,Female,Self-employed,Married,4,1118150.0,Medium,48140.0,6.38,21.88,26.42,5627594.0,0.64,596,Medium,10.5,3.9,-18.58,Medium,Education,2726222.0,5,Mutual Funds,-0.018,-0.039,8.07,7.37,34.0,19.61,38.49,26.24,10.59,5.06,589700.0,16772300.0,173300.0,Both,High
CUST200034,54,Female,Salaried,Single,4,1469780.0,Medium,46790.0,2.28,23.49,18.11,11592185.0,0.21,798,Medium,12.9,6.7,19.16,Short,Retirement,1036840.0,8,Mutual Funds,0.001,-0.024,5.0,6.0,20.0,21.96,38.56,21.18,9.8,8.5,503000.0,19107100.0,280700.0,Both,High
CUST200035,45,Male,Salaried,Single,1,741980.0,Medium,24024.0,9.1,28.67,28.92,5029648.0,0.19,679,Medium,11.2,7.7,5.53,Medium,House,2660218.0,10,Stocks,-0.125,-0.061,5.83,7.31,26.1,18.22,40.76,20.92,12.11,7.99,210200.0,7419800.0,144100.0,Both,Medium
CUST200036,35,Male,Salaried,Divorced,4,1411580.0,Medium,56211.0,9.19,15.69,21.8,3121108.0,0.18,638,Medium,3.6,1.8,-20.0,Medium,House,5750022.0,6,SIPs,-0.173,-0.026,6.79,-6.2,38.5,21.26,37.91,26.14,9.56,5.12,548100.0,16939000.0,449700.0,Both,High
CUST200037,44,Male,Salaried,Married,3,775741.0,Medium,24292.0,8.14,17.78,16.72,2630081.0,0.17,595,Low,6.5,6.9,16.37,Medium,House,3864062.0,14,Bonds,0.032,-0.056,5.0,6.0,20.0,13.2,12.91,38.44,22.1,13.35,261100.0,10084600.0,170000.0,Both,High
CUST200038,39,Female,Self-employed,Single,3,246077.0,Low,17440.0,8.03,3.08,23.22,-85307.0,0.61,650,Low,6.4,6.1,-5.64,Medium,Emergency_Fund,368331.0,6,Mutual Funds,-0.045,-0.065,5.11,6.04,26.3,12.12,18.49,43.67,19.24,6.48,161300.0,2706800.0,104600.0,Both,High
CUST200039,52,Female,Salaried,Married,2,1099526.0,Medium,36376.0,6.07,21.4,14.72,6827062.0,0.36,590,Medium,6.6,3.9,-10.13,Short,House,2635224.0,2,Mutual Funds,-0.012,-0.047,8.07,7.37,34.0,18.85,37.86,21.79,13.13,8.38,418300.0,14293800.0,327400.0,Both,High
CUST200040,31,Female,Salaried,Single,4,1153907.0,Medium,43516.0,3.99,14.32,27.17,1633113.0,0.47,769,Medium,4.0,4.5,25.0,Medium,House,1902356.0,11,SIPs,-0.099,-0.025,5.11,6.04,26.3,25.43,31.52,23.67,14.02,5.36,380800.0,13846900.0,208900.0,Both,High
CUST200041,62,Female,Business,Married,2,1552915.0,High,54096.0,5.34,49.67,17.41,32814029.0,0.25,806,Medium,19.3,6.4,22.2,Short,House,8486502.0,19,Stocks,-0.036,-0.085,5.0,6.0,20.0,19.81,33.56,27.96,11.15,7.52,676200.0,20187900.0,324600.0,Both,High
CUST200042,27,Male,Salaried,Single,0,1118098.0,Medium,38823.0,6.41,25.11,20.2,2361296.0,0.05,727,High,1.8,1.0,25.0,Long,Retirement,2486914.0,2,Stocks,-0.125,-0.007,5.0,6.0,20.0,22.85,52.95,9.21,10.71,4.28,252300.0,8944800.0,232900.0,Health,Medium
CUST200043,24,Male,Salaried,Single,4,1103705.0,Medium,35222.0,3.33,28.72,23.94,573503.0,0.28,747,Medium,0.4,3.0,25.0,Long,Education,1296529.0,14,SIPs,-0.058,-0.012,4.45,7.2,12.7,20.99,34.16,27.96,11.77,5.12,308200.0,13244500.0,352200.0,Both,High
CUST200044,75,Female,Retired,Married,3,2843115.0,High,102147.0,7.63,39.17,11.2,60382901.0,0.17,694,High,13.2,7.5,11.67,Short,Retirement,9463892.0,12,Mutual Funds,-0.108,-0.029,5.0,6.0,20.0,18.55,52.15,15.4,7.55,6.35,1404500.0,39803600.0,1225800.0,Both,High
CUST200045,36,Male,Self-employed,Single,1,1360366.0,Medium,45764.0,7.18,14.02,11.53,2888277.0,0.26,685,Medium,3.8,2.9,12.44,Medium,Retirement,2072153.0,19,Mutual Funds,-0.044,-0.005,5.32,5.96,18.2,20.98,35.37,25.05,12.14,6.46,377600.0,12243300.0,320300.0,Both,Medium
CUST200046,30,Male,Salaried,Single,1,1196730.0,Medium,46448.0,8.38,19.78,12.63,1495927.0,0.21,788,Medium,4.0,5.3,21.8,Medium,Retirement,1680845.0,3,Stocks,-0.181,-0.062,5.0,6.0,20.0,21.63,28.52,30.38,12.46,7.01,336700.0,10770600.0,510900.0,Both,Medium
CUST200047,37,Male,Salaried,Single,2,972816.0,Medium,42185.0,5.66,14.02,9.76,2019705.0,0.13,674,High,6.4,8.5,2.79,Medium,House,2864606.0,6,Mutual Funds,-0.17,-0.019,7.96,6.39,21.1,24.58,51.97,11.22,8.15,4.08,358600.0,9728200.0,253100.0,Both,High
CUST200048,26,Female,Salaried,Married,4,1269671.0,Medium,42527.0,7.88,14.2,10.49,768819.0,0.39,592,Medium,1.1,8.6,10.7,Long,Retirement,5224389.0,9,Mutual Funds,-0.161,-0.085,5.0,6.0,20.0,22.83,34.63,25.67,11.43,5.44,435900.0,17775400.0,255200.0,Both,High
CUST200049,40,Female,Salaried,Married,1,1114957.0,Medium,44705.0,3.03,15.53,14.86,3109600.0,0.17,709,Medium,8.8,6.1,9.07,Medium,House,1765745.0,5,Mutual Funds,-0.105,-0.051,5.0,6.0,20.0,17.83,37.38,29.03,10.76,5.0,435900.0,12264500.0,491800.0,Both,High
CUST200050,40,Female,Self-employed,Married,0,2235830.0,High,74968.0,6.62,51.02,8.88,20863567.0,0.24,798,Low,6.2,7.0,15.68,Medium,Wealth,14705271.0,20,Bonds,-0.014,-0.063,4.45,7.2,12.7,10.35,14.18,46.19,21.68,7.6,712200.0,22358300.0,899600.0,Both,Medium
CUST200051,45,Male,Business,Single,3,317074.0,Low,10436.0,1.69,19.09,21.98,1448154.0,0.22,732,High,11.2,7.0,8.53,Medium,Education,3595711.0,12,Stocks,-0.015,0.004,5.0,6.0,20.0,19.57,60.24,13.07,4.58,2.54,107000.0,3804900.0,73100.0,Both,High
CUST200052,39,Male,Business,Single,0,714621.0,Medium,24963.0,4.6,18.06,22.82,1912214.0,0.38,666,Medium,7.2,8.2,9.21,Medium,Retirement,1311821.0,21,SIPs,-0.024,-0.063,5.83,7.31,26.1,18.98,36.16,22.97,11.65,10.23,174700.0,5717000.0,149800.0,Life,Medium
CUST200053,53,Female,Salaried,Married,4,2476888.0,High,67990.0,4.02,57.8,8.85,45906961.0,0.41,763,High,6.1,6.0,11.02,Short,Retirement,19966219.0,5,Stocks,-0.106,-0.054,7.96,6.39,21.1,20.76,51.78,15.98,4.33,7.15,866900.0,37153300.0,367100.0,Both,High
CUST200054,30,Female,Salaried,Married,0,2265187.0,High,90809.0,6.63,41.12,6.68,8858548.0,0.13,772,Low,2.2,4.7,9.9,Medium,Wealth,29606855.0,3,SIPs,-0.037,-0.044,5.0,6.0,20.0,22.7,11.09,39.97,20.34,5.9,771900.0,22651900.0,635700.0,Both,High
CUST200055,42,Male,Salaried,Married,1,918225.0,Medium,33060.0,3.81,10.2,14.6,1373347.0,0.37,650,Medium,9.7,6.0,8.0,Medium,Retirement,1833258.0,12,Stocks,-0.137,-0.086,5.0,6.0,20.0,16.0,38.35,24.57,14.79,6.28,305800.0,10100500.0,330600.0,Both,High
CUST200056,28,Female,Salaried,Divorced,2,1130083.0,Medium,35831.0,8.46,14.79,29.9,1473313.0,0.45,712,Medium,0.9,6.3,17.78,Long,House,3501566.0,7,Mutual Funds,-0.104,-0.07,5.0,6.0,20.0,16.65,40.66,23.87,11.33,7.49,286600.0,11300800.0,150500.0,Both,Medium
CUST200057,31,Female,Self-employed,Single,0,635893.0,Medium,27208.0,5.17,15.48,9.76,1187289.0,0.34,684,Medium,3.7,3.5,11.57,Medium,House,5704827.0,13,Mutual Funds,0.036,-0.016,4.45,7.2,12.7,23.32,36.79,20.93,11.71,7.25,163200.0,5087100.0,272100.0,Life,Medium
CUST200058,57,Female,Retired,Married,2,1189682.0,Medium,49239.0,6.49,11.66,23.33,4782735.0,0.05,747,Medium,20.3,5.2,17.65,Short,Retirement,669848.0,12,Mutual Funds,-0.111,-0.029,5.0,6.0,20.0,23.03,29.92,26.24,13.46,7.35,615500.0,15465900.0,393900.0,Both,High
CUST200059,53,Male,Business,Married,3,1294753.0,Medium,53632.0,6.36,30.0,19.9,13322256.0,0.05,820,Low,8.9,6.0,7.08,Short,House,5782526.0,13,SIPs,-0.078,-0.061,5.0,6.0,20.0,12.62,10.98,42.94,19.95,13.52,657000.0,18126500.0,536300.0,Both,High
CUST200060,54,Female,Business,Divorced,4,1470979.0,Medium,59457.0,9.07,15.61,9.73,6734294.0,0.41,645,Medium,12.5,6.0,16.04,Short,Retirement,5318309.0,12,SIPs,-0.057,-0.066,5.0,6.0,20.0,17.3,32.32,24.28,14.87,11.22,639200.0,19122700.0,249700.0,Both,High
CUST200061,22,Female,Student,Married,4,430554.0,Low,16644.0,4.87,20.57,15.88,78675.0,0.22,751,Medium,2.3,3.1,-2.96,Long,Retirement,3302640.0,6,SIPs,-0.086,-0.026,7.96,6.39,21.1,20.44,32.81,26.67,14.36,5.72,162300.0,6027800.0,116500.0,None,High
CUST200062,38,Male,Self-employed,Married,3,401020.0,Low,12050.0,6.09,25.6,16.68,1413772.0,0.31,775,High,5.1,6.7,0.97,Medium,Retirement,1991927.0,9,Stocks,-0.153,-0.05,7.96,6.39,21.1,23.29,44.04,18.67,10.54,3.46,129500.0,5213300.0,72300.0,Both,High
CUST200063,59,Male,Retired,Married,3,670900.0,Medium,19777.0,7.97,17.9,31.19,4689625.0,0.4,752,High,10.1,6.3,19.1,Short,Retirement,2830801.0,13,Stocks,-0.084,-0.066,5.0,6.0,20.0,20.07,56.99,10.87,7.34,4.73,252200.0,9392600.0,178000.0,Both,High
CUST200064,18,Male,Student,Single,3,750384.0,Medium,31956.0,5.5,29.39,12.15,-534396.0,0.41,621,Low,2.8,4.5,-3.16,Long,House,1501212.0,3,SIPs,-0.097,-0.079,5.0,6.0,20.0,16.74,13.48,39.81,20.8,9.17,263600.0,8254200.0,115000.0,None,High
CUST200065,46,Female,Salaried,Divorced,4,410392.0,Low,20178.0,5.4,16.13,18.35,2084046.0,0.17,676,Medium,3.9,6.4,18.36,Medium,Education,5300630.0,13,Mutual Funds,0.005,-0.073,5.0,6.0,20.0,19.87,33.21,25.8,14.6,6.52,206800.0,5335100.0,161400.0,Both,High
CUST200066,58,Female,Retired,Married,1,532618.0,Low,26404.0,5.19,22.76,19.28,4888801.0,0.38,814,Medium,25.1,9.1,19.44,Short,Retirement,3109920.0,9,Mutual Funds,-0.028,-0.092,5.0,6.0,20.0,20.29,31.34,28.35,13.22,6.8,297000.0,6391400.0,211200.0,Both,High
CUST200067,42,Female,Salaried,Married,4,753618.0,Medium,36567.0,3.85,23.8,12.73,3469402.0,0.28,606,Medium,11.5,7.4,10.72,Medium,Retirement,4929714.0,16,SIPs,-0.132,-0.091,5.0,6.0,20.0,18.75,36.01,23.35,15.43,6.46,393100.0,10550700.0,292500.0,Both,High
CUST200068,46,Female,Salaried,Married,3,1477840.0,Medium,47507.0,2.92,23.65,4.04,7664878.0,0.23,628,Low,7.1,6.1,-11.88,Medium,House,1631164.0,12,Mutual Funds,-0.044,-0.066,8.07,7.37,34.0,20.8,17.45,36.48,14.53,10.74,582000.0,20689800.0,427600.0,Both,High
CUST200069,26,Male,Business,Married,3,1273309.0,Medium,49541.0,4.81,26.17,31.21,1614903.0,0.38,670,Medium,1.2,5.5,8.65,Long,Retirement,2601124.0,9,Stocks,-0.135,-0.095,5.83,7.31,26.1,20.88,34.14,23.31,14.8,6.87,507800.0,16553000.0,396300.0,Both,High
CUST200070,57,Male,Salaried,Married,0,1443119.0,Medium,61971.0,1.07,20.09,21.29,11185667.0,0.43,642,High,16.3,8.0,19.11,Short,Retirement,5786485.0,19,Stocks,-0.144,-0.059,5.11,6.04,26.3,13.77,58.69,18.1,5.58,3.86,681700.0,15874300.0,409000.0,Both,High
CUST200071,45,Male,Business,Single,1,1896756.0,High,82684.0,4.31,35.54,0.0,17386817.0,0.18,764,High,7.9,6.1,-3.6,Medium,Wealth,13620854.0,9,Stocks,0.0,-0.019,8.07,7.37,34.0,13.44,62.9,13.3,4.34,6.02,764800.0,18967600.0,909500.0,Both,High
CUST200072,63,Male,Retired,Married,4,467464.0,Low,19519.0,6.47,20.29,16.98,3800652.0,0.1,782,Medium,23.9,3.8,12.97,Short,House,2970642.0,21,SIPs,-0.098,-0.061,5.0,6.0,20.0,24.19,26.71,28.53,12.8,7.77,248900.0,7012000.0,117100.0,Both,High
CUST200073,54,Female,Salaried,Married,2,634555.0,Medium,24102.0,7.59,19.21,6.75,3297683.0,0.2,761,Low,7.6,8.8,13.03,Short,Retirement,1865686.0,14,SIPs,-0.123,-0.124,5.0,6.0,20.0,21.4,13.47,31.7,21.6,11.84,265100.0,8249200.0,289200.0,Both,High
CUST200074,62,Male,Retired,Single,0,1395794.0,Medium,46817.0,5.11,25.28,25.57,15618860.0,0.24,717,Medium,10.9,7.3,-13.44,Short,Retirement,5244814.0,4,Mutual Funds,-0.046,-0.012,6.17,7.46,22.6,17.39,30.46,30.72,14.11,7.32,444800.0,12562100.0,280900.0,Life,Medium
CUST200075,66,Female,Retired,Married,0,2575386.0,High,116532.0,9.93,40.34,17.95,45268404.0,0.21,751,High,18.6,5.7,-1.15,Short,Retirement,21923189.0,3,Stocks,-0.077,-0.061,5.0,6.0,20.0,11.55,63.67,13.13,4.07,7.58,1340100.0,28329200.0,1165300.0,Both,High
CUST200076,24,Male,Salaried,Single,1,2003221.0,High,63496.0,5.51,40.84,18.06,2156476.0,0.26,830,High,1.2,5.9,-18.04,Long,House,7459830.0,11,Stocks,-0.155,-0.054,6.79,-6.2,38.5,23.4,56.24,12.46,2.58,5.32,492100.0,18029000.0,508000.0,Both,Medium
CUST200077,23,Male,Salaried,Single,0,845002.0,Medium,37678.0,7.79,21.64,8.42,625922.0,0.39,783,High,0.6,8.4,21.12,Long,House,5791468.0,10,Crypto,-0.046,-0.012,7.96,6.39,21.1,18.8,53.9,12.74,9.55,5.01,226100.0,6760000.0,414500.0,Health,Medium
CUST200078,27,Male,Salaried,Divorced,0,605714.0,Medium,20520.0,7.09,17.36,14.12,680125.0,0.56,763,Medium,2.2,3.6,17.72,Long,Retirement,5642373.0,13,Mutual Funds,-0.069,-0.045,5.83,7.31,26.1,23.13,37.44,19.21,15.37,4.85,123100.0,4845700.0,123100.0,Health,Medium
CUST200079,42,Male,Self-employed,Single,4,371922.0,Low,17852.0,3.77,14.53,28.67,1016185.0,0.36,625,Medium,8.8,2.5,11.32,Medium,House,791725.0,19,Mutual Funds,-0.099,-0.068,6.17,7.46,22.6,23.82,35.69,23.39,10.42,6.68,165100.0,4463100.0,107100.0,Both,High
CUST200080,29,Female,Salaried,Married,3,1038889.0,Medium,48351.0,4.97,29.59,35.0,2129804.0,0.32,605,High,3.8,3.4,25.0,Long,Education,575061.0,7,Stocks,-0.146,-0.045,5.0,6.0,20.0,10.9,52.69,18.6,11.49,6.32,495600.0,13505600.0,483500.0,Both,High
CUST200081,42,Female,Self-employed,Single,1,932088.0,Medium,44985.0,7.9,19.77,14.13,3758294.0,0.48,711,High,6.6,7.4,25.0,Medium,House,4641406.0,9,Stocks,-0.026,-0.019,4.45,7.2,12.7,17.76,57.28,11.47,9.73,3.76,348600.0,8388800.0,269900.0,Both,Medium
CUST200082,68,Male,Retired,Married,0,2049865.0,High,63572.0,5.82,48.88,0.0,49128835.0,0.16,758,High,28.5,7.0,-15.68,Short,Retirement,13699866.0,14,Stocks,-0.08,-0.06,6.79,-6.2,38.5,15.91,64.9,6.99,9.04,3.16,731100.0,22548500.0,381400.0,Both,High
